battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL
B0005,1,0.9754816401752674,4.058087216693784,26.66415039136797,2.0126207740316393,3.553734001235637,32.285161196889085,1.8564874208181572,100.0,167.0
B0005,2,0.9846585486945234,4.056357889826413,26.820697760680744,2.012560798339071,3.5609987370492955,32.4383266744855,1.846327249719927,99.45272071416716,166.0
B0005,3,0.9834112492884007,4.057495664774423,26.741188695584306,2.01247381130899,3.565476195998501,32.36327898810823,1.835349194223408,98.86138595081707,165.0
B0005,4,0.9916203235588527,4.055180034928969,26.6805889385519,2.012180500929662,3.565378190523658,32.236974872161184,1.8352625275821128,98.85671763794174,164.0
B0005,5,0.983852460917865,4.055573597324442,26.59369926547659,2.012707103960666,3.5650189486597204,32.09975412948961,1.8346455082120416,98.82348178817772,163.0
B0005,6,0.9922410398932121,4.053478047840219,26.713577211298148,2.0128651576009267,3.5661638779339415,32.13862220103681,1.8356616600675493,98.87821697485944,162.0
B0005,7,0.988366141562837,4.053075875167074,26.760627821042473,2.012776560329247,3.56692230540028,32.18134661596578,1.8351461429226603,98.85044855913478,161.0
B0005,8,0.9956646349713518,4.053772820231122,26.78534909561121,2.0128773736640815,3.572893698987939,32.1617338780491,1.8257567905665535,98.34468955151549,160.0
B0005,9,0.9925863609367425,4.05356674402334,26.74255824123162,2.0127949486461714,3.571581446282363,32.10434010781041,1.8247738529891333,98.29174345738106,159.0
B0005,10,0.9960306102323908,4.05261945872686,26.653883233055208,2.012368620685179,3.5706539530552175,32.03038907493314,1.824613268496936,98.28309354731991,158.0
B0005,11,0.9943604541352339,4.0519187086139326,26.658928893063255,2.0123644654272606,3.568477781014362,31.916893347276304,1.8246195526864504,98.28343204622078,157.0
B0005,12,0.9960478108479027,4.053437711960222,26.905506836404218,2.012833741252596,3.5749407049115574,32.15408727301223,1.814201935767392,97.72228539894282,156.0
B0005,13,0.9979605375999052,4.052389500875233,26.866119180457744,2.0124138220773284,3.572885760484142,32.11943504270057,1.8137521577549052,97.69805803238793,155.0
B0005,14,0.9965966392839783,4.052478569974332,26.72618965789673,2.0123424197152504,3.5709222016029627,31.954219605594925,1.8134404914735824,97.68127007692819,154.0
B0005,15,0.9943416474276695,4.055408589114431,26.606193277242408,2.0122705003316366,3.575258630844564,31.851807455920245,1.8025980036306504,97.09723768751648,153.0
B0005,16,0.985867213456062,4.056397145443887,26.54620191100058,2.0124690289159464,3.573221090981841,31.75452682651172,1.80210690024615,97.07078432300708,152.0
B0005,17,0.9933095338223211,4.054551323450152,26.631632743297168,2.012663090194962,3.5713950144903435,31.780906769807707,1.802579500826209,97.09624103091468,151.0
B0005,18,0.9941717451404918,4.053722342538996,26.707077281757307,2.012767677535523,3.5692696790339955,31.823552148010457,1.8030683142834096,97.12257104811377,150.0
B0005,19,0.9786768780383603,4.077890418438001,25.684363980336805,2.0126482949048174,3.5682979758950975,31.82215936356865,1.802777624719604,97.1069130069902,149.0
B0005,20,0.9906180233665577,4.05672233117062,26.02779503064595,2.0125615843204474,3.5731562443821945,32.14416119981345,1.8470259949329195,99.4903587398902,148.0
B0005,21,0.9927241474960815,4.055189260426984,26.112540878963113,2.012341595590293,3.5726676338614305,32.4878611036943,1.847417311283644,99.51143705942721,147.0
B0005,22,0.99758368167227,4.0573524638275,25.727825172857628,2.0121676888591917,3.574336031234615,32.115733911001165,1.8361774213478947,98.90599854098059,146.0
B0005,23,0.9900502135261131,4.06071621540376,25.52476496468099,2.0123035856991933,3.5753552785390053,31.800192342592936,1.825780747577624,98.34597999985365,145.0
B0005,24,0.9925073679791359,4.060232558792176,25.445371192541593,2.012363805431341,3.5729091665339965,31.68272295754249,1.8251136435078368,98.31004632950898,144.0
B0005,25,0.9900377725070625,4.060167921219702,25.386190798124016,2.012308543064403,3.5696804875530543,31.643330783790788,1.825581504220376,98.33524772367372,143.0
B0005,26,0.9885461456526425,4.062960222913301,25.32138700200996,2.0123924130826953,3.5742333975936047,31.536204339302458,1.814031127508391,97.7130847840027,142.0
B0005,27,0.985745269544968,4.0627680201493295,25.22878102133395,2.0123608967318036,3.56960087728755,31.459070577367882,1.8147691941158937,97.75284086310275,141.0
B0005,28,0.9880299612241219,4.062348975953982,25.228974153050913,2.0125325631738633,3.567340701496511,31.423257964228554,1.813969388710352,97.70975921350077,140.0
B0005,29,0.9848726100236662,4.065224240007464,25.27922142980224,2.0125403910465263,3.5721687789508554,31.43324190161474,1.802765665167823,97.10626880376819,139.0
B0005,30,0.9843463540771874,4.067234621345303,25.641797326007993,2.012554706883981,3.5685077015034765,31.4618452681009,1.804077040117352,97.17690623092356,138.0
B0005,31,0.740796774949009,4.12684702197149,25.56472509698613,2.0127723440327867,3.570431476439235,31.727392634581534,1.8518025516704488,99.74764875349149,137.0
B0005,32,0.7312979301936972,4.129227077509067,25.618127983229307,2.0125440846361036,3.572976740491354,31.918881543463627,1.8307038456739428,98.61116348782738,136.0
B0005,33,0.7284922217477963,4.130851616471629,25.280598804441098,2.0124045188661523,3.572228790008532,31.687166645501346,1.8199041089501269,98.02943389447218,135.0
B0005,34,0.7189939193644594,4.133177629879134,24.990625528136626,2.012253486595877,3.5702115819997724,31.288352041188826,1.809307963702852,97.45867078945716,134.0
